Date;Heures;Type de réserve;Sens de l'ajustement;Quantité de la réserve (en MW);Prix des offres activées (en euros/MWh)
06/12/2016;20:30 - 21:00;Réserve complémentaire;A la baisse;350;48,9
06/12/2016;21:00 - 21:30;Réserve primaire;A la hausse;35;66
06/12/2016;21:00 - 21:30;Réserve primaire;A la baisse;0;66
06/12/2016;21:00 - 21:30;Réserve secondaire;A la hausse;0;66
06/12/2016;21:00 - 21:30;Réserve secondaire;A la baisse;205;66
06/12/2016;21:00 - 21:30;Réserve rapide;A la hausse;343;75,2
06/12/2016;21:00 - 21:30;Réserve rapide;A la baisse;0;66
06/12/2016;21:00 - 21:30;Réserve complémentaire;A la hausse;0;88
06/12/2016;21:00 - 21:30;Réserve complémentaire;A la baisse;0;66
06/12/2016;21:30 - 22:00;Réserve primaire;A la hausse;0;66
06/12/2016;21:30 - 22:00;Réserve primaire;A la baisse;30;66
06/12/2016;21:30 - 22:00;Réserve secondaire;A la hausse;0;66
06/12/2016;21:30 - 22:00;Réserve secondaire;A la baisse;226;66
06/12/2016;21:30 - 22:00;Réserve rapide;A la hausse;82;72,8
06/12/2016;21:30 - 22:00;Réserve rapide;A la baisse;27;50,6
06/12/2016;21:30 - 22:00;Réserve complémentaire;A la hausse;0;88
06/12/2016;21:30 - 22:00;Réserve complémentaire;A la baisse;0;50,6
06/12/2016;22:00 - 22:30;Réserve primaire;A la hausse;27;65,3
06/12/2016;22:00 - 22:30;Réserve primaire;A la baisse;0;65,3
06/12/2016;22:00 - 22:30;Réserve secondaire;A la hausse;0;65,3
06/12/2016;22:00 - 22:30;Réserve secondaire;A la baisse;278;65,3
06/12/2016;22:00 - 22:30;Réserve rapide;A la hausse;0;0
06/12/2016;22:00 - 22:30;Réserve rapide;A la baisse;68;50,6
06/12/2016;22:00 - 22:30;Réserve complémentaire;A la hausse;0;88
06/12/2016;22:00 - 22:30;Réserve complémentaire;A la baisse;0;50,6
06/12/2016;22:30 - 23:00;Réserve primaire;A la hausse;0;65,3
06/12/2016;22:30 - 23:00;Réserve primaire;A la baisse;21;65,3
06/12/2016;22:30 - 23:00;Réserve secondaire;A la hausse;0;65,3
06/12/2016;22:30 - 23:00;Réserve secondaire;A la baisse;193;65,3
06/12/2016;22:30 - 23:00;Réserve rapide;A la hausse;778;73
06/12/2016;22:30 - 23:00;Réserve rapide;A la baisse;0;65,3
06/12/2016;22:30 - 23:00;Réserve complémentaire;A la hausse;0;88
